observationURI,sequenceNumber,obsID,collection,observationID,algorithm_name,type,intent
b'caom:NOAO/psg_140802_101356_ori',,b'00000000-0000-0000-823e-324f7ada7c29',b'NOAO',b'psg_140802_101356_ori',b'exposure',b'object',b'science'
b'caom:DAO/dao_c122_2011_010135',,b'00000000-0000-0000-a226-014423d5aa4b',b'DAO',b'dao_c122_2011_010135',b'exposure',b'bias',b'calibration'
b'caom:DAO/dao_c122_2010_010135',,b'00000000-0000-0000-d009-0144244cdc89',b'DAO',b'dao_c122_2010_010135',b'exposure',b'object',b'science'
b'caom:DAO/dao_c182_2010_010135',,b'00000000-0000-0000-d294-0144264f27d5',b'DAO',b'dao_c182_2010_010135',b'exposure',b'object',b'science'
b'caom:DAO/dao_c122_2009_010135',,b'00000000-0000-0000-c3b3-01442963436d',b'DAO',b'dao_c122_2009_010135',b'exposure',b'bias',b'calibration'
b'caom:DAO/dao_c182_2008_010135',,b'00000000-0000-0000-e478-01442967fc0c',b'DAO',b'dao_c182_2008_010135',b'exposure',b'object',b'science'
b'caom:JCMT/DAS_00041_20050126T110135',41.0,b'00000000-0000-0000-664f-fce9a99017cb',b'JCMT',b'DAS_00041_20050126T110135',b'exposure',b'grid',b'science'
b'caom:JCMT/DAS_00057_20050514T101359',57.0,b'00000000-0000-0000-4977-058ec66b1f2c',b'JCMT',b'DAS_00057_20050514T101359',b'exposure',b'grid',b'science'
b'caom:DAO/dao_c182_2014_010135',,b'00000000-0000-0000-8582-0146ded7d6ce',b'DAO',b'dao_c182_2014_010135',b'exposure',b'bias',b'calibration'
b'caom:TESS/tess2018206045859-s0001-0000000471013511-0120-s',1.0,b'00000000-0000-0000-86b7-ac1a6d47e32f',b'TESS',b'tess2018206045859-s0001-0000000471013511-0120-s',b'timeseries',b'',b'science'
b'caom:DAO/dao_c122_2014_010135',,b'00000000-0000-0000-63ed-01485cd4f7d2',b'DAO',b'dao_c122_2014_010135',b'exposure',b'flat',b'calibration'
b'caom:FUSE/p1013501',,b'00000000-0000-0000-2de3-01457ec10819',b'FUSE',b'p1013501',b'exposure',b'object',b'science'
b'caom:CFHT/2110135',2110135.0,b'00000000-0000-0000-afc7-015c965dbd23',b'CFHT',b'2110135',b'exposure',b'OBJECT',b'science'
b'caom:DAO/dao_c182_2015_010135',,b'00000000-0000-0000-6630-014e1ab36d81',b'DAO',b'dao_c182_2015_010135',b'exposure',b'bias',b'calibration'
b'caom:DAO/dao_c122_2015_010135',,b'00000000-0000-0000-d9a0-014f3198b6b1',b'DAO',b'dao_c122_2015_010135',b'exposure',b'bias',b'calibration'
b'caom:DAO/dao_c122_2008_010135',,b'00000000-0000-0000-7586-0154206f4130',b'DAO',b'dao_c122_2008_010135',b'exposure',b'flat',b'calibration'
b'caom:DAO/dao_c122_2007_010135',,b'00000000-0000-0000-4dec-01544c238bc5',b'DAO',b'dao_c122_2007_010135',b'exposure',b'object',b'science'
b'caom:DAO/dao_c122_2016_010135',,b'00000000-0000-0000-75b4-015712385eca',b'DAO',b'dao_c122_2016_010135',b'exposure',b'comparison',b'calibration'
b'caom:DAO/dao_c122_2017_010135',,b'00000000-0000-0000-fe6d-015d559c0aaa',b'DAO',b'dao_c122_2017_010135',b'exposure',b'bias',b'calibration'
